2026-08-05 21:07:03.637 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:05.760 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:07.882 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:10.009 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:12.134 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:14.270 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:16.822 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:18.959 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:21.090 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:23.213 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:25.342 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:27.478 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:29.624 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:31.757 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:33.880 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:36.013 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:38.157 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:40.280 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:42.416 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:44.547 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:46.658 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:48.791 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:50.927 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:53.063 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:55.204 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:57.314 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:07:59.484 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:08:01.622 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:08:03.748 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
